Amir, 12000, Rolex, 1401/2/1, 01:36, 0
Amir, 41000, Hospital Bill, 1401/2/1, 01:36, 0
Amir, 19000, RangeRover, 1401/2/1, 01:36, 0
Amir, 12000, Rolex, 1401/2/1, 01:38, 0
Amir, 41000, Hospital Bill, 1401/2/1, 01:38, 0
Amir, 19000, RangeRover, 1401/2/1, 01:38, 0
Amir, 12000, Rolex, 1401/2/1, 01:38, 0
Amir, 41000, Hospital Bill, 1401/2/1, 01:38, 0
Amir, 19000, RangeRover, 1401/2/1, 01:38, 0
Amir, 12000, Rolex, 1401/2/1, 01:40, 0
Amir, 41000, Hospital Bill, 1401/2/1, 01:40, 0
Amir, 19000, RangeRover, 1401/2/1, 01:40, 0
